OBJECTID,GEOID,ACCESS_,Shape__Area,Shape__Length
2001,421010072004001,Low Access,72315.5213012695,1197.45530367925
2002,421010078003006,High Access,150276.268737793,1671.82999206968
2003,421010078002004,High Access,113307.679199219,1346.17842954451
2004,421010074004009,High Access,108013.993347168,1453.81495800482
2005,421010073004003,High Access,34485.5758666992,892.093010897298
2006,421010073003001,High Access,303742.419921875,3903.65719345971
2007,421010071011000,High Access,100104.80645752,1396.43815751204
2008,421010071023005,High Access,90417.239074707,1385.98371445135
2009,421010079004004,High Access,155139.643249512,1663.94636881939
2010,421010079003000,High Access,159961.632385254,1683.15234465812
2011,421010079003003,High Access,135250.602355957,1592.79606075912
2012,421010081024007,Low Access,109449.764526367,1492.76940270358
2013,421010081024008,Low Access,110187.73046875,1495.16577435131
2014,421010078005002,High Access,180167.796142578,1999.00672974563
2015,421010073003000,High Access,138469.723632813,1528.7931898569
2016,421010078004002,High Access,90476.1369018555,1402.95394147018
2017,421010073002001,High Access,96801.6384887695,1414.43236507589
2018,421010078004007,High Access,139501.211120605,1538.37266185015
2019,421010078002006,High Access,44176.0551757813,1055.29009102943
2020,421010071013005,High Access,276119.827087402,2097.2681244631
2021,421010071012007,High Access,67241.8648071289,1065.17081966051
2022,421010070001000,High Access,106623.471069336,1446.41341626783
2023,421010070002005,High Access,85369.1371459961,1380.85478120024
2024,421010070001003,High Access,136214.676879883,1562.39902469486
2025,421010074005005,High Access,96330.6134033203,1413.44583621232
2026,421010078002002,High Access,127465.589477539,1484.42518666223
2027,421010080004011,Low Access,142001.232788086,1575.1276378368
2028,421010080003000,Moderate Access,152379.709411621,1666.37060144069
2029,421010080002001,High Access,157446.604309082,1684.5443082276
2030,421010080001006,High Access,162494.523864746,1701.55584063219
2031,421010072005002,Low Access,87989.3040771484,1377.12362878742
2032,421010072005005,High Access,48668.0595703125,911.048062760635
2033,421010072003000,Low Access,105630.73815918,1446.15288696403
2034,421010065006012,Moderate Access,161041.481750488,1677.59359803264
2035,421010072001011,Low Access,93530.1395874023,1322.28964251049
2036,421010073004011,Moderate Access,250467.569091797,2533.12631146764
2037,421010080002006,High Access,124447.327697754,1567.47324824153
2038,421010073001000,High Access,153215.849487305,1696.82482070757
2039,421010073002002,High Access,153627.607971191,1689.05522823598
2040,421010073001005,High Access,109427.059814453,1436.58873287302
2041,421010073001002,High Access,105627.10534668,1418.046081019
2042,421010070002001,High Access,104904.123901367,1520.87366234445
2043,421010074004004,High Access,84268.6698608398,1375.3284968645
2044,421010078005001,High Access,134270.020996094,1643.84465858747
2045,421010074003000,Low Access,99204.7697753906,1492.36841624756
2046,421010081024010,High Access,106899.125732422,1532.04143075091
2047,421010081011002,Moderate Access,104094.943969727,1561.61173651746
2048,421010074004012,Moderate Access,131590.915039063,1549.86952759977
2049,421010074005008,Moderate Access,61091.9432983398,1043.71754160871
2050,421010080002005,High Access,97733.1240844727,1467.26768281005
2051,421010072006008,High Access,140051.590698242,1642.32936121284
2052,421010072001001,High Access,131244.936401367,1486.04539574792
2053,421010078003001,High Access,8940.546875,460.985056541665
2054,421010081011004,High Access,164167.010559082,1730.59824990543
2055,421010080003004,Low Access,129711.239135742,1590.29366405759
2056,421010081011005,High Access,80963.2770385742,1283.50818927271
2057,421010072006005,High Access,214664.503540039,2928.23683749077
2058,421010072001000,High Access,58206.7681274414,976.460608194061
2059,421010072005001,Moderate Access,106677.477661133,1448.40114022303
2060,421010072001003,High Access,132725.147460938,1491.57012877095
2061,421010072003004,Low Access,48935.6642456055,915.260307924839
2062,421010072003001,Low Access,87669.7130737305,1375.15684319639
2063,421010065004000,Moderate Access,139709.445068359,1579.81645405983
2064,421010065004001,Moderate Access,106947.750244141,1455.78989064295
2065,421010072002005,Low Access,69985.5272827148,1127.42063000554
2066,421010079002006,High Access,80834.9696655273,1443.34641591086
2067,421010072004000,Low Access,84442.8490600586,1323.86580786011
2068,421010072004005,Moderate Access,107296.378845215,1452.34438973597
2069,421010073004010,High Access,117671.952819824,1406.32468968829
2070,421010071021002,High Access,96363.7173461914,1424.61488819382
2071,421010071022002,High Access,118048.031555176,1556.61683575692
2072,421010071012000,High Access,88851.7728271484,1342.45526453153
2073,421010071012002,High Access,88472.4038696289,1349.42037129271
2074,421010079003002,High Access,158032.303466797,1685.41778818596
2075,421010078002003,High Access,77167.4320678711,1752.22753561875
2076,421010079002001,High Access,160417.445495605,1682.1126441655
2077,421010078003002,High Access,96980.4188842773,1362.25339090123
2078,421010073002003,High Access,149538.030517578,1673.57811781187
2079,421010073002005,High Access,130926.314575195,1525.16374974693
2080,421010078004005,High Access,131807.007507324,1505.51030724834
2081,421010074004000,High Access,463878.35144043,2796.32455528478
2082,421010070001005,High Access,92057.7370605469,1401.23774373454
2083,421010074004007,High Access,127079.895996094,1598.360424272
